                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                0.61235,                0.40934,                 1.0427,                0.78821,                      1,                  0.945,                0.58504,                 1.7079,                0.73066,                 2.1317,              0.0016436,              0.0016436,              0.0016436
                     56,                 0.7357,                0.43518,                 1.1222,                0.64941,                0.93528,                0.82833,                0.44961,                 1.8035,                0.94059,                 2.1435,               0.001637,               0.001637,               0.001637
                     57,                0.72556,                0.44046,                 1.0457,                0.64941,                0.93528,                0.82833,                0.44961,                 1.8035,                0.94059,                 2.1435,              0.0016304,              0.0016304,              0.0016304
                     58,                0.70881,                 0.4195,                 1.0812,                0.57718,                   0.75,                0.68667,                0.36191,                  2.122,                 1.3702,                 2.2499,              0.0016238,              0.0016238,              0.0016238
                     59,                0.58662,                0.38708,                  0.949,                0.57718,                   0.75,                0.68667,                0.36191,                  2.122,                 1.3702,                 2.2499,              0.0016172,              0.0016172,              0.0016172
                     60,                0.78264,                0.51854,                 1.0881,                      1,                0.73318,                  0.845,                0.28362,                 2.3026,                 1.5721,                 2.4042,              0.0016106,              0.0016106,              0.0016106
                     61,                0.59459,                0.39482,                0.97053,                      1,                0.73318,                  0.845,                0.28362,                 2.3026,                 1.5721,                 2.4042,               0.001604,               0.001604,               0.001604
                     62,                0.66848,                0.39231,                 1.0308,                      1,                0.73288,                0.85611,                0.22403,                 2.1173,                 1.4816,                 2.1954,              0.0015974,              0.0015974,              0.0015974
                     63,                0.61428,                0.39409,                 0.9853,                      1,                0.73288,                0.85611,                0.22403,                 2.1173,                 1.4816,                 2.1954,              0.0015908,              0.0015908,              0.0015908
                     64,                0.60925,                0.41317,                0.97197,                0.99578,                   0.75,                0.85611,                0.24942,                 2.2419,                 1.2253,                 2.3843,              0.0015842,              0.0015842,              0.0015842
                     65,                0.70556,                0.42263,                0.93788,                0.99578,                   0.75,                0.85611,                0.24942,                 2.2419,                 1.2253,                 2.3843,              0.0015776,              0.0015776,              0.0015776
                     66,                0.65389,                0.38663,                0.92074,                0.63115,                      1,                0.84917,                0.40389,                 2.0498,                 1.0731,                 2.3579,               0.001571,               0.001571,               0.001571
                     67,                0.58723,                0.39793,                0.96754,                0.63115,                      1,                0.84917,                0.40389,                 2.0498,                 1.0731,                 2.3579,              0.0015644,              0.0015644,              0.0015644
                     68,                0.72429,                0.41101,                 1.0392,                0.78447,                      1,                  0.895,                0.46228,                 1.9661,                0.87014,                 2.4182,              0.0015578,              0.0015578,              0.0015578
                     69,                0.61624,                0.40211,                0.96833,                0.78447,                      1,                  0.895,                0.46228,                 1.9661,                0.87014,                 2.4182,              0.0015512,              0.0015512,              0.0015512
                     70,                0.66861,                0.36847,                 1.0034,                0.97804,                      1,                  0.995,                0.50831,                 1.7874,                0.72037,                 2.3687,              0.0015446,              0.0015446,              0.0015446
                     71,                0.56777,                0.33544,                0.96487,                0.97804,                      1,                  0.995,                0.50831,                 1.7874,                0.72037,                 2.3687,               0.001538,               0.001538,               0.001538
                     72,                0.67669,                0.41592,                 1.0212,                0.97134,                      1,                  0.995,                0.49233,                 1.8025,                0.75709,                 2.3927,              0.0015314,              0.0015314,              0.0015314
                     73,                0.55063,                0.35933,                0.94095,                0.97134,                      1,                  0.995,                0.49233,                 1.8025,                0.75709,                 2.3927,              0.0015248,              0.0015248,              0.0015248
                     74,                0.65135,                0.38425,                0.98782,                0.96999,                      1,                  0.995,                0.49296,                  1.824,                0.78235,                 2.4117,              0.0015182,              0.0015182,              0.0015182
                     75,                 0.5388,                0.36469,                0.89813,                0.96999,                      1,                  0.995,                0.49296,                  1.824,                0.78235,                 2.4117,              0.0015116,              0.0015116,              0.0015116
                     76,                0.59565,                0.37287,                0.94604,                0.97034,                      1,                  0.995,                0.49247,                 1.7943,                0.76874,                 2.3735,               0.001505,               0.001505,               0.001505
                     77,                0.54539,                0.35325,                0.96241,                0.97034,                      1,                  0.995,                0.49247,                 1.7943,                0.76874,                 2.3735,              0.0014984,              0.0014984,              0.0014984
                     78,                0.62735,                0.41109,                0.99507,                0.97068,                      1,                  0.995,                0.49972,                 1.6251,                0.70603,                 2.2846,              0.0014918,              0.0014918,              0.0014918
                     79,                0.54055,                0.32687,                0.92841,                0.97068,                      1,                  0.995,                0.49972,                 1.6251,                0.70603,                 2.2846,              0.0014852,              0.0014852,              0.0014852
                     80,                0.58903,                0.35464,                0.98199,                0.97287,                      1,                  0.995,                0.53138,                 1.5945,                 0.6653,                 2.2847,              0.0014786,              0.0014786,              0.0014786
                     81,                0.57069,                0.35202,                0.93089,                0.97287,                      1,                  0.995,                0.53138,                 1.5945,                 0.6653,                 2.2847,               0.001472,               0.001472,               0.001472
                     82,                0.55444,                0.36293,                0.96602,                0.97684,                      1,                  0.995,                0.53282,                 1.6178,                0.59989,                 2.3106,              0.0014654,              0.0014654,              0.0014654
                     83,                0.48131,                0.32424,                  1.007,                0.97684,                      1,                  0.995,                0.53282,                 1.6178,                0.59989,                 2.3106,              0.0014588,              0.0014588,              0.0014588
                     84,                0.51502,                0.32601,                0.97952,                0.98091,                      1,                  0.995,                0.53182,                 1.6049,                0.56382,                 2.2736,              0.0014522,              0.0014522,              0.0014522
                     85,                0.52353,                0.32538,                  0.878,                0.98091,                      1,                  0.995,                0.53182,                 1.6049,                0.56382,                 2.2736,              0.0014456,              0.0014456,              0.0014456
                     86,                0.54791,                0.35512,                0.93154,                0.98235,                      1,                  0.995,                0.53554,                 1.7363,                0.64045,                 2.3312,               0.001439,               0.001439,               0.001439
                     87,                0.60481,                0.41354,                 1.0638,                0.98235,                      1,                  0.995,                0.53554,                 1.7363,                0.64045,                 2.3312,              0.0014324,              0.0014324,              0.0014324
                     88,                0.66932,                0.40755,                  1.068,                0.78947,                      1,                  0.895,                0.48289,                 1.8638,                0.70953,                 2.3811,              0.0014258,              0.0014258,              0.0014258
                     89,                0.61121,                0.42733,                 1.0567,                0.78947,                      1,                  0.895,                0.48289,                 1.8638,                0.70953,                 2.3811,              0.0014192,              0.0014192,              0.0014192
                     90,                0.61756,                0.36937,                0.97558,                0.79068,                      1,                  0.895,                0.48517,                 1.8911,                0.74098,                  2.408,              0.0014126,              0.0014126,              0.0014126
                     91,                0.54839,                0.32581,                0.91989,                0.79068,                      1,                  0.895,                0.48517,                 1.8911,                0.74098,                  2.408,               0.001406,               0.001406,               0.001406
                     92,                0.59957,                0.36028,                0.95049,                 0.7917,                      1,                  0.895,                0.48614,                 1.8231,                0.69398,                 2.3899,              0.0013994,              0.0013994,              0.0013994
                     93,                0.52162,                0.35585,                0.91021,                 0.7917,                      1,                  0.895,                0.48614,                 1.8231,                0.69398,                 2.3899,              0.0013928,              0.0013928,              0.0013928
                     94,                0.59132,                0.39155,                0.96346,                0.79107,                      1,                  0.945,                0.50358,                 1.7702,                0.67375,                 2.3874,              0.0013862,              0.0013862,              0.0013862
                     95,                0.51622,                0.33963,                0.93189,                0.79107,                      1,                  0.945,                0.50358,                 1.7702,                0.67375,                 2.3874,              0.0013796,              0.0013796,              0.0013796
                     96,                0.61648,                0.42744,                0.98428,                0.99128,                      1,                  0.995,                0.52608,                 1.7068,                  0.609,                 2.3313,               0.001373,               0.001373,               0.001373
                     97,                0.55513,                0.36661,                0.94511,                0.99128,                      1,                  0.995,                0.52608,                 1.7068,                  0.609,                 2.3313,              0.0013664,              0.0013664,              0.0013664
                     98,                0.54245,                0.35149,                0.95818,                0.99644,                      1,                  0.995,                0.52212,                 1.5946,                  0.636,                 2.1384,              0.0013598,              0.0013598,              0.0013598
                     99,                0.55849,                0.43272,                0.98354,                0.99644,                      1,                  0.995,                0.52212,                 1.5946,                  0.636,                 2.1384,              0.0013532,              0.0013532,              0.0013532
                    100,                0.50206,                0.37227,                0.95384,                0.99808,                      1,                  0.995,                0.56037,                 1.4074,                0.73439,                 1.9028,              0.0013466,              0.0013466,              0.0013466
                    101,                0.51603,                0.31702,                0.92355,                0.99808,                      1,                  0.995,                0.56037,                 1.4074,                0.73439,                 1.9028,                0.00134,                0.00134,                0.00134
                    102,                0.51708,                0.31849,                 0.9493,                0.79962,                0.99808,                  0.945,                0.64406,                 1.3419,                0.70974,                 1.8586,              0.0013334,              0.0013334,              0.0013334
                    103,                0.49443,                0.34741,                0.97037,                0.79962,                0.99808,                  0.945,                0.64406,                 1.3419,                0.70974,                 1.8586,              0.0013268,              0.0013268,              0.0013268
